,counts,zipcode
0,107,10001.0
1,136,10002.0
2,58,10003.0
3,12,10004.0
4,7,10005.0
5,10,10006.0
6,26,10007.0
7,99,10009.0
8,27,10010.0
9,87,10011.0
10,33,10012.0
11,88,10013.0
12,47,10014.0
13,57,10016.0
14,37,10017.0
15,58,10018.0
16,118,10019.0
17,1,10020.0
18,122,10021.0
19,43,10022.0
20,64,10023.0
21,58,10024.0
22,62,10025.0
23,74,10026.0
24,106,10027.0
25,47,10028.0
26,163,10029.0
27,131,10030.0
28,123,10031.0
29,61,10032.0
30,150,10033.0
31,99,10034.0
32,118,10035.0
33,108,10036.0
34,40,10037.0
35,35,10038.0
36,54,10039.0
37,71,10040.0
38,1,10044.0
39,34,10065.0
40,1,10069.0
41,25,10075.0
42,105,10128.0
43,1,10154.0
44,2,10162.0
45,3,10282.0
46,382,10301.0
47,208,10302.0
48,310,10303.0
49,351,10304.0
50,360,10305.0
51,245,10306.0
52,25,10307.0
53,138,10308.0
54,81,10309.0
55,226,10310.0
56,214,10312.0
57,647,10314.0
58,292,10451.0
59,732,10452.0
60,1434,10453.0
61,240,10454.0
62,430,10455.0
63,1149,10456.0
64,772,10457.0
65,792,10458.0
66,549,10459.0
67,1042,10460.0
68,1240,10461.0
69,1259,10462.0
70,753,10463.0
71,58,10464.0
72,564,10465.0
73,2089,10466.0
74,1726,10467.0
75,827,10468.0
76,1696,10469.0
77,526,10470.0
78,172,10471.0
79,1370,10472.0
80,757,10473.0
81,178,10474.0
82,129,10475.0
83,1,10803.0
84,36,11001.0
85,52,11004.0
86,54,11040.0
87,1087,11101.0
88,1040,11102.0
89,1094,11103.0
90,347,11104.0
91,733,11105.0
92,920,11106.0
93,1,11109.0
94,340,11201.0
95,2050,11203.0
96,1561,11204.0
97,729,11205.0
98,738,11206.0
99,1824,11207.0
100,2341,11208.0
101,1276,11209.0
102,1554,11210.0
103,673,11211.0
104,1236,11212.0
105,900,11213.0
106,1917,11214.0
107,621,11215.0
108,530,11216.0
109,439,11217.0
110,1414,11218.0
111,1336,11219.0
112,1494,11220.0
113,1454,11221.0
114,636,11222.0
115,1550,11223.0
116,239,11224.0
117,563,11225.0
118,1775,11226.0
119,772,11228.0
120,1398,11229.0
121,1760,11230.0
122,278,11231.0
123,470,11232.0
124,979,11233.0
125,1933,11234.0
126,1692,11235.0
127,2668,11236.0
128,995,11237.0
129,594,11238.0
130,47,11239.0
131,432,11249.0
132,881,11354.0
133,2309,11355.0
134,716,11356.0
135,358,11357.0
136,718,11358.0
137,95,11360.0
138,494,11361.0
139,90,11362.0
140,116,11363.0
141,178,11364.0
142,482,11365.0
143,213,11366.0
144,431,11367.0
145,4122,11368.0
146,1498,11369.0
147,705,11370.0
148,3,11371.0
149,928,11372.0
150,2335,11373.0
151,979,11374.0
152,877,11375.0
153,2054,11377.0
154,1090,11378.0
155,660,11379.0
156,2658,11385.0
157,172,11411.0
158,409,11412.0
159,459,11413.0
160,263,11414.0
161,471,11415.0
162,1138,11416.0
163,1089,11417.0
164,1226,11418.0
165,2258,11419.0
166,1488,11420.0
167,1660,11421.0
168,328,11422.0
169,506,11423.0
170,161,11426.0
171,207,11427.0
172,255,11428.0
173,311,11429.0
174,2,11430.0
175,1055,11432.0
176,943,11433.0
177,865,11434.0
178,1348,11435.0
179,417,11436.0
180,471,11691.0
181,65,11692.0
182,110,11693.0
183,95,11694.0
184,1,11697.0
